weather_code,weather_type
SHRA:80," Rain shower(s), slight"
SHRA:81," Rain shower(s), moderate or heavy"
SHRA:82," Rain shower(s), violent"
SHRASN:83," Shower(s) of rain and snow mixed, slight"
SHRASN:84," Shower(s) of rain and snow mixed, moderate or heavy"
SHSN:85," Show shower(s), slight"
SHSN:86," Snow shower(s), moderate or heavy"
SH:87," Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed, slight"
SH:88," Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed, moderate or heavy"
SH:89," Shower(s) of hail (hail, small hail, snow pellets), with or without rain or rain and snow mixed, not associated with thunder, slight"
SH:90," Shower(s) of hail (hail, small hail, snow pellets), with or without rain or rain and snow mixed, not associated with thunder, moderate or heavy"
RA:91," Slight rain at time of observation, thunderstorm during the preceding hour but not at time of observation"
RA:92," Moderate or heavy rain at time of observation, thunderstorm during the preceding hour but not at time of observation"
93," Slight snow, or rain and snow mixed or hail (Hail, small hail, snow pellets), at time of observation, thunderstorm during the preceding hour but not at time of observation"
94," Moderate or heavy snow, or rain and snow mixed or hail(Hail, small hail, snow pellets) at time of observation, thunderstorm during the preceding hour but not at time of observation"
TS:95," Thunderstorm, slight or moderate, without hail (Hail, small hail, snow pellets), but with rain and/or snow at time of observation, thunderstorm at time of observation"
TS:96," Thunderstorm, slight or moderate, with hail (hail, small hail, snow pellets) at time of observation, thunderstorm at time of observation"
TS:97," Thunderstorm, heavy, without hail (Hail, small hail, snow pellets), but with rain and/or snow at time of observation, thunderstorm at time of observation"
TS:98," Thunderstorm combined with duststorm or sandstorm at time of observation, thunderstorm at time of observation"
TS:99," Thunderstorm, heavy, with hail (Hail, small hail, snow pellets) at time of observation, thunderstorm at time of observation"
